id,storeId,category,sub_category,name,brand,quantity,quantity_value,quantity_unit,quantity_items,quantity_total,primaryPrice,primaryPriceUnit,secondaryPrice,secondaryPriceUnit
995,1,Bio Eco e Saudável,Vegetariano e Vegan,capsulas cafe qharacter int,delta q,emb. 80 un,1.0,un,1,1.0,27.99,un,0.35,un
999,1,Bio Eco e Saudável,Vegetariano e Vegan,capsulas cafe ristretto int,buondi,emb. 36 un,1.0,un,1,1.0,10.99,un,0.31,un
1007,1,Mercearia,Cereais e Barras,cereais trigo fibra,weetabix,emb. 430 gr,430.0,g,1,430.0,4.6,un,10.7,kg
1018,1,Mercearia,Cereais e Barras,cereais chocomax,nacional,emb. 1 kg,1000.0,g,1,1000.0,4.49,un,4.49,kg
1024,1,Mercearia,Cereais e Barras,muesli crunchy chocolate,continente,emb. 500 gr,500.0,g,1,500.0,2.65,un,5.3,kg
1025,1,Mercearia,Cereais e Barras,cereais trigo pedacos amendoa,clusters,emb. 325 gr,325.0,g,1,325.0,3.99,un,12.28,kg
1029,1,Mercearia,Cereais e Barras,cereais avela,kellogg's,emb. 600 gr,600.0,g,1,600.0,4.79,un,7.98,kg
1037,1,Mercearia,Cereais e Barras,granola triplo chocolate,continente,emb. 500 gr,500.0,g,1,500.0,2.99,un,5.98,kg
1044,1,Mercearia,"Bolachas, Biscoitos e Tostas",bolachas pepitas chocolate,continente,emb. 150 gr,150.0,g,1,150.0,1.19,un,7.93,kg
1046,1,Mercearia,"Bolachas, Biscoitos e Tostas",tortitas milho sal gluten,continente equilíbrio,emb. 130 gr,130.0,g,1,130.0,0.79,un,6.08,kg
1047,1,Mercearia,"Bolachas, Biscoitos e Tostas",mini tostas trigo,continente,emb. 350 gr,350.0,g,1,350.0,2.09,un,5.97,kg
1051,1,Mercearia,"Bolachas, Biscoitos e Tostas",gressinos naturais,continente,5 un x 50 gr (250 gr),5.0,un,1,5.0,1.49,un,5.96,kg
1054,1,Mercearia,"Bolachas, Biscoitos e Tostas",bolachas cobertura chocolate branco argolinhas,continente,emb. 128 gr,128.0,g,1,128.0,1.15,un,8.98,kg
1055,1,Mercearia,"Bolachas, Biscoitos e Tostas",bolachas wafers caramelo cubos,vieira,emb. 125 gr,125.0,g,1,125.0,1.69,un,13.52,kg
1057,1,Mercearia,"Bolachas, Biscoitos e Tostas",lagartos,da nossa pastelaria,emb. 750 gr,750.0,g,1,750.0,2.45,un,3.27,kg
1058,1,Mercearia,"Bolachas, Biscoitos e Tostas",bolachas cracker,tuc,emb. 250 gr (8 un),31.25,g,8,250.0,3.09,un,12.36,kg
1064,1,Mercearia,"Bolachas, Biscoitos e Tostas",tortitas milho mini gluten,continente equilíbrio,emb. 200 gr (8 un),25.0,g,8,200.0,1.79,un,8.95,kg
1068,1,Mercearia,"Bolachas, Biscoitos e Tostas",bolachas belgas cobertas chocolate,saborosa,emb. 198 gr (6 un),33.0,g,6,198.0,1.64,un,8.28,kg
